Country_Code,Country_Name,Region,Income_Group,GDP_per_capita,Life_Expectancy,Child_Mortality,Access_Electricity,Health_Expenditure_Pct,Inflation_Rate,Trade_Pct_GDP,Internet_Usage_Pct,Log_GDP_per_capita,Income_Group_Code,Cluster
UGA,Uganda,Sub-Saharan Africa,Low income,822.1711500363574,66.354,51.6,41.3,3.79341364,2.867588034468999,39.36105396474346,11.72579956,2.9154901411523704,0,1
BLZ,Belize,Latin America & Caribbean,Upper middle income,6171.614497614228,72.577,13.5,92.7,4.81608105,0.1870693851814241,102.4418569076774,58.76520157,3.790469154532825,2,0
GRD,Grenada,Latin America & Caribbean,Upper middle income,10462.792915953349,74.971,18.5,93.0,4.93189621,0.5981497647360223,67.10304836644916,64.31279755,4.019689136145647,2,0
GIN,Guinea,Sub-Saharan Africa,Lower middle income,1031.341464807319,59.379,105.4,42.2,4.08876228,9.470010392530124,78.41531322859738,23.89049911,3.0138233714705502,1,1
LAO,Lao PDR,East Asia & Pacific,Lower middle income,2589.320810352372,67.911,36.5,98.4,2.60312223,3.322558812569254,101.55318493454511,47.03229904,3.413353554636336,1,0
SSD,South Sudan,Sub-Saharan Africa,Low income,1106.439210586554,58.129,96.7,6.8,9.06570053,87.2413641500032,60.408692875322615,6.671000004,3.044319896311458,0,1
GHA,Ghana,Sub-Saharan Africa,Lower middle income,2186.6582268261286,64.455,44.1,83.5,3.25450468,7.143640033308569,76.82480273215198,22.0732,3.3399794740611473,1,1
PHL,Philippines,East Asia & Pacific,Upper middle income,3400.789497670743,69.68,28.0,95.3,4.16646004,2.392065344224044,68.84184225956784,43.0266118680279,3.5317074360171454,2,0
HUN,Hungary,Europe & Central Asia,High income,17012.859855319868,76.31951219512194,4.1,100.0,6.24677849,3.338586353820081,159.92555646483092,80.3716936050482,4.2308028511612585,3,2
KIR,Kiribati,East Asia & Pacific,Lower middle income,1750.24040333237,65.866,59.1,89.3,10.16600227,-1.813079953029471,98.35658191319546,41.79299927,3.2433457683987754,1,0
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,1421.9992750410186,71.60000000000001,18.3,99.9,4.25461817,1.133622577188036,94.43028235429392,64.1,3.153204678829354,1,0
MLT,Malta,Middle East & North Africa,High income,32421.90874711857,82.65853658536585,6.1,100.0,8.89282227,1.642060017689402,233.070440941958,85.7785963798031,4.510851973996649,3,2
IND,India,South Asia,Lower middle income,2041.4286369858528,70.746,34.9,95.9,2.95299792,3.729505735391232,39.90540353064419,29.52350044,3.3101468911017875,1,0
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,48359.00119505975,85.1558536585366,20.0,100.0,4.99218798,2.883208537739963,353.74352113973106,91.7434003891587,4.684486302920907,3,2
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,8740.594252320614,70.994,14.3,100.0,4.26063251,0.9130697253245904,67.10304836644916,59.57630157,3.9415906445160576,2,0
COG,"Congo, Republic of",Sub-Saharan Africa,Lower middle income,2488.424667249158,63.152,52.2,47.7,2.34771276,2.206073057815252,91.57575479303743,16.11639977,3.3960989885777315,1,1
PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,3656.858271370109,75.811,15.7,100.0,9.18576908,1.580183336394551,68.9934922812035,70.6225837001758,3.563226874143588,1,0
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,2128.660671383342,72.093,15.7,100.0,4.83520985,14.52573595606866,62.30037823028783,70.3999986481458,3.328310410816392,1,0
SYR,Syrian Arab Republic,Middle East & North Africa,Low income,1109.539338214638,70.97,24.6,89.2,3.96978569,13.41756532285707,41.99946817659758,33.77000046,3.045533947006019,0,0
HTI,Haiti,Latin America & Caribbean,Lower middle income,1352.1720419153248,64.328,61.5,45.4,3.91107917,18.70378256725062,44.56871877582935,35.76409912,3.1313530161870835,1,1
KEN,Kenya,Sub-Saharan Africa,Lower middle income,1960.408088548926,62.939,42.7,69.7,4.36874676,5.239637957647923,31.759461841481023,22.6687733618171,3.292567961932159,1,1
TON,Tonga,East Asia & Pacific,Upper middle income,4788.833504685837,72.292,10.9,98.4,5.74527884,1.179543348218005,88.04538553304603,51.56299973,3.6803204175371294,2,0
TUR,Türkiye,Europe & Central Asia,Upper middle income,9395.233780013676,77.737,11.3,100.0,4.35954332,15.17682157200223,62.57845893262392,73.9767022871511,3.97295381356607,2,0
CUW,Curaçao,Latin America & Caribbean,High income,19220.686695830263,76.492,15.0,100.0,6.88792992,2.622207834250587,155.2688587716874,66.48885468623226,4.283791494183281,3,2
ERI,Eritrea,Sub-Saharan Africa,Low income,1106.439210586554,67.306,40.5,50.3,4.64806461,2.867588034468999,60.408692875322615,11.22379971,3.044319896311458,0,1
DMA,Dominica,Latin America & Caribbean,Upper middle income,9491.149959623735,71.305,33.0,99.9,5.16903925,1.504623538581412,67.10304836644916,73.38200378,3.9773645907044513,2,0
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,2575.772741403927,65.331,46.1,23.6,2.3253386,3.928672909395973,101.55318493454511,13.62419987,3.411076117617101,1,1
IRN,"Iran, Islamic Republic of",Middle East & North Africa,Upper middle income,3997.493544958496,76.855,13.4,100.0,6.23426771,39.90734556977835,48.59177121370379,72.4509047672065,3.601896399242573,2,0
NLD,Netherlands,Europe & Central Asia,High income,53554.90074914751,82.11219512195122,4.0,100.0,9.93616295,2.63369910249591,160.67667188499902,93.2885906040269,4.728807328045793,3,2
TTO,Trinidad and Tobago,Latin America & Caribbean,High income,17212.61288921629,72.836,21.2,100.0,6.90704823,1.000542930272373,67.10304836644916,74.98670197,4.235872032046185,3,0
SYC,Seychelles,Sub-Saharan Africa,High income,19141.5118743615,74.04634146341465,14.8,100.0,4.25269794,1.807094008099823,173.40784688019585,76.63420105,4.2819989251648565,3,2
CAF,Central African Republic,Sub-Saharan Africa,Low income,449.2284676024388,31.53,254.7,14.3,7.76081514,2.685373552667865,50.06580000148676,7.509200096,2.653432951641361,0,1
CUB,Cuba,Latin America & Caribbean,Upper middle income,9232.261159351829,77.413,6.9,99.8,11.08501148,2.25212191358027,22.8208911354416,67.9708086565152,3.965355119591962,2,0
AUT,Austria,Europe & Central Asia,High income,49885.99473552041,81.89512195121951,3.5,100.0,10.62530422,1.530895641526437,108.20728490442558,87.7522047870069,4.697987342201519,3,2
COM,Comoros,Sub-Saharan Africa,Lower middle income,1519.2638643606815,65.662,44.8,83.3,5.18044472,3.582135444692111,42.26807853501838,16.38380051,3.181918972741103,1,1
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,1767.0727106209977,67.64,43.4,44.9,3.09176588,2.300092621179372,93.48669413513171,25.0977993,3.2475001210685472,1,1
LUX,Luxembourg,Europe & Central Asia,High income,112696.649059674,82.63902439024392,2.4,100.0,5.46640301,1.743320756538483,382.66078058442014,97.120635693272,5.051914856498102,3,2
NAM,Namibia,Sub-Saharan Africa,Lower middle income,4731.921031883102,63.546,46.6,53.3,8.85805798,3.722394144226946,82.90115074263547,49.77590179,3.6751292583865403,1,1
TUN,Tunisia,Middle East & North Africa,Lower middle income,3528.87213306798,75.599,16.9,100.0,6.02461243,6.72007532863799,102.33261472578928,66.6999983024144,3.547758973685618,1,0
AUS,Australia,East Asia & Pacific,High income,55194.75850974282,82.9,3.8,100.0,10.25421429,1.610770929127,46.00168270521715,93.60990143,4.741905705870724,3,2
MNE,Montenegro,Europe & Central Asia,Upper middle income,8749.256297346757,76.6829268292683,3.1,100.0,8.32983208,0.3615637045407673,110.01612386960048,73.4766657478691,3.9420207738101167,2,2
BFA,Burkina Faso,Sub-Saharan Africa,Low income,764.8530777749462,60.184,88.1,17.6,5.35001135,-3.233389339833215,60.408692875322615,9.27180600953186,2.8841454620194504,0,1
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,3913.1457754733615,59.85,51.5,77.0,8.40033817,2.598016203110773,86.64079484775952,43.93389893,3.5926369961571223,1,1
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,6804.149230738878,62.297,80.7,66.6,3.27948833,1.53027528964189,94.87879242535448,49.13370132,3.832837653327128,2,1
ARM,Armenia,Europe & Central Asia,Upper middle income,4597.228873995479,76.2219512195122,12.1,100.0,11.3798008,1.443446607706982,97.84700486532697,66.5439496866159,3.6625905842102267,2,2
BOL,"Bolivia, Plurinational State of",Latin America & Caribbean,Lower middle income,4203.15492855788,67.82,20.6,95.1,6.88792992,1.839545049690259,45.82097327490238,47.4748191121692,3.6236787119656237,1,0
AND,Andorra,Europe & Central Asia,High income,41257.80458615429,84.098,3.0,100.0,7.32238626,1.763735865288415,96.18156500978648,90.71869659,4.615516640768551,3,2
ESP,Spain,Europe & Central Asia,High income,29786.5245689007,83.83170731707318,3.2,100.0,9.21539497,0.6995189944586482,66.36622504406921,90.718665325267,4.474034413562943,3,2
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,4365.115291954196,69.405,43.5,99.9,5.5522337,1.763735865288415,37.65605177561782,82.2598911708476,3.6400951995358377,2,0
BMU,Bermuda,North America,High income,115798.04077557832,81.251,5.85,100.0,13.79654789,1.880739549688066,77.56010165064427,90.6715938437856,5.063704961916472,3,2
ALB,Albania,Europe & Central Asia,Upper middle income,6069.439031310275,79.467,9.4,100.0,6.78144073,1.411090789542422,75.38212893268896,68.5503911218006,3.783220101615688,2,0
CHN,China,East Asia & Pacific,Upper middle income,10342.90095243346,77.94,8.0,100.0,5.26516867,2.899234163582267,35.45443502814074,64.080881297515,4.014684353324625,2,0
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,18896.37218322477,77.168,10.3,100.0,4.27709961,1.431355981829838,137.53778363199118,71.09259796,4.276401416571628,3,0
XKX,Kosovo,Europe & Central Asia,Upper middle income,4415.699274462303,77.249,11.2,100.0,7.10601497,2.675992026398933,85.75340850534823,89.4430319734879,3.6450978298928103,2,0
CZE,Czechia,Europe & Central Asia,High income,24062.719001334302,79.22926829268295,3.0,100.0,7.48754358,2.847875959180411,138.15460999387147,80.8669444139622,4.381362747565037,3,2
SUR,Suriname,Latin America & Caribbean,Upper middle income,6629.667752486033,71.773,18.4,97.9,8.38353634,34.88978430907801,67.10304836644916,62.03350067,3.8215572669593647,2,0
COD,"Congo, Democratic Republic of",Sub-Saharan Africa,Low income,504.00419142286,60.242,92.2,19.1,3.508039,2.867588034468999,60.914352374279225,13.02970028,2.703294982681563,0,1
EST,Estonia,Europe & Central Asia,High income,24021.250141330624,78.64634146341466,2.5,100.0,6.64763546,2.277259312435221,140.35214799854862,90.2289281997919,4.380613684923429,3,2
MAR,Morocco,Middle East & North Africa,Lower middle income,3508.09765625,74.245,19.1,99.6,5.020401,0.3033860365903833,75.99811587984217,84.1203630467602,3.545195454559193,1,0
